FLT_Rep1_G1S1	FLT_Rep2_G1S2	FLT_Rep3_G1S3	GC_Rep1_G2S1	GC_Rep2_G2S2	GC_Rep3_G2S3
AT1G02800	2884.87563399097	2863.80782973224	2250.31907492873	456.46304772481	964.964780814681	727.357280050272
AT1G04110	149.543538987854	163.467897906285	192.32512052871	46.324220189894	76.3449596596712	42.25986431577
AT1G06000	1711.53402039396	2793.92842299368	3153.21065872818	711.811188283738	910.813123381659	744.423763716257
AT1G06002	1735.36238649642	2871.29490902566	3132.4810050185	683.564712558193	962.301584547483	711.916175781049
AT1G07167	52.58673898474	36.1875499181852	58.7340188440969	15.8180264063053	19.5301059594508	16.2537939676039
AT1G09687	13682.412149592	29769.8751171774	33052.2811926585	4378.2037374595	11472.1617869992	9327.23966830947
AT1G10370	756.756040702274	701.289760483452	779.665308969679	186.426739788598	198.851987950771	225.927736149694
AT1G10522	6767.25597309873	8308.16232259577	8800.88964718801	3091.29430340366	1877.55336837447	2646.11765792591
AT1G10640	120.785166105575	86.1014118743028	78.3120251254626	21.4673215514143	30.1828910282421	13.0030351740831
AT1G11600	3229.15444078169	1885.49613539234	1560.48226536767	590.916272178405	688.880101115173	602.203066499723
AT1G12064	368.10717289318	240.834383938267	281.001972509013	127.674070279464	66.5799066799458	86.9577977266806
AT1G12845	347.565477977266	324.440102714764	294.8217416488	65.5318236832647	119.843832023902	120.278075360269
AT1G15580	102.70847457957	192.168368531053	128.98451197135	13.5583083482617	25.7442305829124	24.3806909514058
AT1G24020	1419.84195258798	2385.88260150242	1796.56998817238	251.958563471863	606.32101683204	459.982369283189
AT1G28570	154.473545767674	341.909954399405	371.982119345947	23.7270396094579	117.180635756705	80.4562801396391
AT1G30100	84.6317830535659	116.049729047973	88.6768519803032	28.2464757255452	52.3761932548907	17.8791733643642
AT1G30530	1133.07989156182	1075.64372515433	1208.07815230309	231.62110094947	307.155302816817	294.19367081363
AT1G31800	460.133966116475	479.173074778728	473.327093037722	99.4275945539189	209.504773019563	164.163319072799
AT1G32540	502.039023744939	749.955775890666	616.13137414886	180.777444643489	237.024467780607	230.803874339975
AT1G43000	61.6250847477422	33.6918568203793	34.5494228494688	12.4284493192399	15.091445514121	13.0030351740831
AT1G45010	397.687213572096	366.866885377464	263.727261084278	61.0123875671775	139.373937983353	121.090765058649
AT1G45191	47.6567322049206	46.1703223094087	41.4593074193625	13.5583083482617	15.979177603187	17.066483665984
AT1G45201	399.330549165369	759.93854828189	587.340188440969	133.323365424573	265.431894630717	182.042492437163
AT1G48100	81.3451118670197	128.528194537003	172.747114247344	31.6360528126106	35.5092835626378	47.1360025060512
AT1G52000	267.042033906883	323.192256165861	301.731626218694	51.9735153350031	130.496617092694	80.4562801396391
AT1G52100	3972.76379673778	5229.72488645222	4616.95454011734	601.085003439601	2491.86397400811	1501.8505626066
AT1G53070	385.362196622548	267.039161465229	268.333850797541	54.2332333930467	110.966511133243	73.9547625525975
AT1G53520	220.206969498599	192.168368531053	170.443819390713	47.4540792189159	84.3345484612647	68.2659346639362
AT1G54010	20406.9413972657	28815.2725072667	24457.5364351389	4136.41390524883	11362.083007955	7521.44315850868
AT1G55550	35.3317152553722	46.1703223094087	32.2461279928375	12.4284493192399	12.4282492469232	11.3776557773227
AT1G56650	47.6567322049206	57.4009412495352	62.1889611290438	1.12985902902181	11.5405171578573	10.5649660789425
AT1G65060	493.822345778574	665.102210565266	693.291751846007	42.9346431028286	147.363526784947	79.6435904412589
AT1G65900	149.543538987854	98.5798773633322	102.496621120091	24.8568986384797	38.1724798298356	40.6344849190096
AT1G66430	1147.04824410464	950.859070264039	863.735571236719	246.309268326754	419.897278128192	332.390086637499
AT1G68600	44.3700610183744	58.6487877984381	41.4593074193625	7.90901320315264	8.87732089065944	12.1903454757029
AT1G72600	4019.59886114606	5531.70375128673	5040.76079373749	682.434853529171	2008.93771755623	1278.36089555204
